accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR9090484	SRP198899	new	PRJNA543767	SAMN11783880	GE-P1E6-C	FLD0213	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0213.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0213.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090485	SRP198899	new	PRJNA543767	SAMN11783881	GE-P4D3-C	FLD0282	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0282.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0282.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090486	SRP198899	new	PRJNA543767	SAMN11783882	GE-P1C10-C	FLD0207	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0207.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0207.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090487	SRP198899	new	PRJNA543767	SAMN11783883	GE-P1C11-C	FLD0208	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0208.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0208.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090465	SRP198899	new	PRJNA543767	SAMN11783884	GE-P1E2-C	FLD0209	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0209.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0209.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090464	SRP198899	new	PRJNA543767	SAMN11783885	GE-P1E3-C	FLD0210	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0210.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0210.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090463	SRP198899	new	PRJNA543767	SAMN11783886	GE-P1C6-C	FLD0203	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0203.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0203.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090462	SRP198899	new	PRJNA543767	SAMN11783887	GE-P3D9-G	FLD0292	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0292.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0292.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090461	SRP198899	new	PRJNA543767	SAMN11783888	GE-P1C7-C	FLD0204	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0204.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0204.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090460	SRP198899	new	PRJNA543767	SAMN11783889	GE-P1C8-C	FLD0205	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0205.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0205.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090459	SRP198899	new	PRJNA543767	SAMN11783890	GE-P1C9-C	FLD0206	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0206.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0206.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090458	SRP198899	new	PRJNA543767	SAMN11783891	GE-P4D8-C	FLD0287	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0287.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0287.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090467	SRP198899	new	PRJNA543767	SAMN11783892	GE-P4D9-C	FLD0288	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0288.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0288.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090466	SRP198899	new	PRJNA543767	SAMN11783893	GE-P3B9-G	FLD0290	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0290.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0290.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090452	SRP198899	new	PRJNA543767	SAMN11783894	GE-P3C3-G	FLD0291	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0291.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0291.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090453	SRP198899	new	PRJNA543767	SAMN11783895	GE-P1C5-C	FLD0202	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0202.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0202.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090450	SRP198899	new	PRJNA543767	SAMN11783896	GE-P4D4-C	FLD0283	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0283.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0283.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090451	SRP198899	new	PRJNA543767	SAMN11783897	GE-P4D5-C	FLD0284	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0284.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0284.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090456	SRP198899	new	PRJNA543767	SAMN11783898	GE-P4D6-C	FLD0285	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0285.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0285.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090457	SRP198899	new	PRJNA543767	SAMN11783899	GE-P4D7-C	FLD0286	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0286.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0286.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090454	SRP198899	new	PRJNA543767	SAMN11783900	GE-P2F11-C	FLD0240	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0240.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0240.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090455	SRP198899	new	PRJNA543767	SAMN11783901	GE-P3B4-C	FLD0241	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0241.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0241.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090448	SRP198899	new	PRJNA543767	SAMN11783902	GE-P2F7-C	FLD0236	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0236.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0236.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090449	SRP198899	new	PRJNA543767	SAMN11783903	GE-P2F8-C	FLD0237	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0237.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0237.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090441	SRP198899	new	PRJNA543767	SAMN11783904	GE-P2F9-C	FLD0238	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0238.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0238.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090440	SRP198899	new	PRJNA543767	SAMN11783905	GE-P2F10-C	FLD0239	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0239.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0239.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090443	SRP198899	new	PRJNA543767	SAMN11783906	GE-P6B4-G	FLD0300	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0300.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0300.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090442	SRP198899	new	PRJNA543767	SAMN11783907	GE-P2E11-C	FLD0232	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0232.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0232.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090445	SRP198899	new	PRJNA543767	SAMN11783908	GE-P2F4-C	FLD0233	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0233.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0233.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090444	SRP198899	new	PRJNA543767	SAMN11783909	GE-P2F5-C	FLD0234	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0234.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0234.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090447	SRP198899	new	PRJNA543767	SAMN11783910	GE-P2F6-C	FLD0235	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0235.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0235.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090446	SRP198899	new	PRJNA543767	SAMN11783911	GE-P2E8-C	FLD0229	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0229.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0229.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090439	SRP198899	new	PRJNA543767	SAMN11783912	GE-P2E9-C	FLD0230	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0230.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0230.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090438	SRP198899	new	PRJNA543767	SAMN11783913	GE-P2E10-C	FLD0231	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0231.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0231.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090518	SRP198899	new	PRJNA543767	SAMN11783914	GE-P2E4-C	FLD0225	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0225.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0225.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090519	SRP198899	new	PRJNA543767	SAMN11783915	GE-P2E5-C	FLD0226	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0226.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0226.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090520	SRP198899	new	PRJNA543767	SAMN11783916	GE-P2E6-C	FLD0227	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0227.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0227.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090521	SRP198899	new	PRJNA543767	SAMN11783917	GE-P2E7-C	FLD0228	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0228.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0228.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090522	SRP198899	new	PRJNA543767	SAMN11783918	GE-P2D9-C	FLD0222	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0222.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0222.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090523	SRP198899	new	PRJNA543767	SAMN11783919	GE-P2D10-C	FLD0223	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0223.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0223.000000000-B4LYY.s_1.r_2.fq.gz				
SRR9090524	SRP198899	new	PRJNA543767	SAMN11783920	GE-P2D11-C	FLD0224	MCF-7 STAT3 amplicon sequencing	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	MCF-7 STAT3 amplicon sequencing	fastq	SLX-13775.FLD0224.000000000-B4LYY.s_1.r_1.fq.gz	SLX-13775.FLD0224.000000000-B4LYY.s_1.r_2.fq.gz				
